transaction_id,user_id,amount,transaction,merchant,country,hour,device_risk,ip_risk_score,is_fraud
5506,350,1878.96,QR,Travel,US,5,0.618457,0.441876,1
7912,132,2997.31,ATM,Food,UK,7,0.109852,0.102037,1
4257,833,299.84,POS,Travel,DE,5,0.564353,0.364658,1
3615,814,3543.28,POS,Clothing,FR,5,0.023174,0.582247,1
2674,194,4163.89,POS,Food,FR,15,0.145897,0.117277,1
1711,847,925.19,POS,Electronics,US,13,0.204715,0.319606,1
2291,665,2165.41,Online,Electronics,FR,17,0.196387,0.370993,1
1750,777,706.07,QR,Clothing,US,7,0.196973,0.226153,1
7227,384,2285.79,POS,Clothing,UK,8,0.512513,0.127808,1
5374,818,2576.03,ATM,Electronics,UK,11,0.389145,0.037406,1
3677,573,3041.65,POS,Clothing,TR,12,0.119135,0.04838,1
1916,334,4744.94,ATM,Clothing,DE,15,0.628005,0.486954,1
6155,317,1530.02,POS,Grocery,DE,11,0.07251,0.413697,1
5040,862,2206.36,Online,Electronics,DE,9,0.088104,0.302154,1
6930,324,181.6,QR,Electronics,DE,17,0.591965,0.16268,1
2796,256,34813.5,QR,Grocery,TR,0,0.759099,0.808027,0
8668,641,29601.96,Online,Electronics,US,3,0.714699,0.987834,0
9797,868,3877.91,Online,Clothing,US,8,0.611279,0.537948,1
8433,103,2993.52,Online,Electronics,UK,10,0.6,0.062211,1
5889,961,987.95,QR,Travel,FR,8,0.038945,0.201945,1
1009,713,1949.5,Online,Grocery,US,21,0.183663,0.498955,1
6038,345,1790.2,ATM,Travel,TR,16,0.189798,0.330191,1
8962,935,713.21,ATM,Electronics,UK,7,0.523406,0.053985,1
3705,371,4934.57,POS,Travel,TR,20,0.504237,0.127242,1
6107,508,37.56,Online,Grocery,TR,11,0.531895,0.427046,1
4681,165,3647.75,Online,Food,TR,12,0.503613,0.053686,1
1117,172,1798.74,ATM,Travel,US,12,0.084156,0.519231,1
2160,626,3120.26,QR,Clothing,DE,15,0.221775,0.047499,1
8744,348,1561.8,POS,Grocery,UK,9,0.218117,0.440468,1
8062,462,33690.09,POS,Grocery,DE,22,0.960524,0.788886,0
2612,162,606.78,POS,Clothing,US,6,0.466477,0.458863,1
9786,559,2810.77,QR,Grocery,UK,11,0.503419,0.301339,1
2235,553,2618.44,ATM,Food,TR,12,0.283626,0.024997,1
4872,270,548.38,POS,Grocery,DE,7,0.030115,0.385482,1
1960,268,1578.64,POS,Food,DE,17,0.335485,0.545464,1
5673,533,1253.97,POS,Travel,UK,19,0.272645,0.455775,1
9883,162,1151.7,Online,Food,US,6,0.059267,0.180953,1
9701,261,814.49,ATM,Electronics,US,21,0.605006,0.486791,1
2113,791,3170.68,QR,Grocery,US,7,0.567735,0.484167,1
1651,734,940.98,ATM,Grocery,TR,12,0.581238,0.328212,1
5272,309,4039.13,Online,Travel,FR,15,0.583498,0.197622,1
8491,423,559.16,ATM,Food,DE,14,0.155879,0.261994,1
2200,650,4091.89,QR,Electronics,FR,8,0.560868,0.014102,1
2127,350,2558.63,Online,Clothing,UK,16,0.277143,0.141044,1
9666,108,608.13,Online,Food,UK,14,0.226074,0.566317,1
3546,378,1622.78,Online,Electronics,UK,8,0.342026,0.424781,1
5325,617,1824.51,POS,Clothing,US,11,0.631941,0.577844,1
5533,145,16330.2,ATM,Clothing,UK,3,0.824037,0.720351,0
3647,859,1431.35,POS,Electronics,DE,13,0.033608,0.369643,1
2232,807,2518.37,QR,Electronics,US,8,0.042946,0.174401,1
8041,230,4542.25,ATM,Clothing,FR,9,0.16332,0.095488,1
6862,315,2452.37,QR,Food,FR,6,0.640816,0.152813,1
3532,342,3363.96,QR,Travel,DE,18,0.497437,0.150206,1
6442,901,37769.74,POS,Travel,FR,22,0.778724,0.852922,0
7267,993,3171.31,ATM,Grocery,UK,8,0.352896,0.063271,1
6728,412,4178.16,QR,Travel,US,19,0.215299,0.120046,1
6378,385,213.47,ATM,Clothing,FR,17,0.388171,0.409763,1
9785,439,92.77,ATM,Food,FR,17,0.33774,0.143633,1
1626,211,3229.41,POS,Clothing,FR,13,0.121595,0.417653,1
2894,494,1939.81,QR,Clothing,US,21,0.609507,0.091137,1
9518,925,1711.92,QR,Clothing,DE,5,0.082623,0.555569,1
6409,738,44480.27,Online,Food,FR,22,0.74028,0.863994,0
6344,512,4087.94,Online,Electronics,UK,18,0.365329,0.322494,1
3851,730,1216.84,Online,Grocery,TR,17,0.069586,0.539357,1
5700,315,4503.09,POS,Electronics,TR,14,0.415185,0.210028,1
8238,552,1752.56,QR,Electronics,DE,19,0.474612,0.539295,1
2389,390,4436.56,Online,Food,UK,10,0.50912,0.388799,1
4262,250,429.86,ATM,Food,UK,12,0.113442,0.540147,1
8461,524,3036.08,QR,Grocery,DE,7,0.015886,0.069868,1
1090,868,3320.87,ATM,Grocery,UK,9,0.013239,0.104877,1
8611,151,2748.18,QR,Food,DE,21,0.452813,0.394657,1
9702,672,1129.1,Online,Grocery,TR,19,0.465795,0.149977,1
7991,950,1633.74,POS,Travel,DE,21,0.487754,0.393283,1
5543,884,4247.62,POS,Travel,FR,12,0.430872,0.345302,1
4841,378,477.44,Online,Clothing,TR,14,0.245338,0.166469,1
4788,492,15979.53,QR,Travel,US,1,0.990554,0.757239,0
9890,577,4461.31,POS,Food,UK,15,0.413929,0.478939,1
1320,977,2518.16,POS,Grocery,US,17,0.379218,0.300585,1
7389,973,984.26,POS,Electronics,TR,14,0.472369,0.175656,1
8999,324,131.34,Online,Grocery,DE,12,0.423102,0.114495,1
7624,841,47320.64,QR,Grocery,UK,2,0.983875,0.965946,0
7455,706,1857.09,ATM,Food,DE,5,0.019892,0.557708,1
3977,151,2146.64,Online,Grocery,FR,19,0.628659,0.578536,1
6529,879,4266.52,POS,Clothing,DE,15,0.198447,0.237208,1
8705,119,4257.17,ATM,Clothing,UK,7,0.21283,0.110001,1
1508,353,2788.44,QR,Food,TR,6,0.609139,0.420658,1
8758,785,2854.61,ATM,Electronics,UK,9,0.072193,0.372854,1
7043,271,4950.37,ATM,Travel,FR,13,0.099654,0.315814,1
6111,689,4388.09,POS,Grocery,UK,5,0.484092,0.421239,1
4978,204,36611.78,Online,Electronics,US,22,0.775822,0.717437,0
6688,645,4048.71,POS,Clothing,US,6,0.528473,0.521573,1
1207,969,4567.07,POS,Grocery,US,15,0.337259,0.305895,1
8532,824,3993.49,QR,Grocery,UK,16,0.425977,0.42416,1
9817,893,3981.01,POS,Grocery,DE,13,0.579603,0.209417,1
6280,972,1884.16,QR,Food,FR,13,0.070148,0.351185,1
8613,683,189.35,POS,Clothing,US,12,0.307983,0.33016,1
3979,599,1439.84,QR,Clothing,FR,15,0.388133,0.027995,1
1166,629,196.37,QR,Food,UK,13,0.536464,0.222512,1
4937,807,644.03,POS,Grocery,DE,20,0.344236,0.464296,1
5820,326,1086.95,POS,Travel,FR,7,0.40865,0.060355,1
8753,666,267.89,Online,Grocery,TR,16,0.350067,0.328975,1
5438,413,3190.78,Online,Travel,US,19,0.474698,0.585753,1
2958,860,2586.34,QR,Travel,UK,15,0.216692,0.47916,1
9595,711,1361.45,Online,Food,UK,13,0.290942,0.056289,1
3939,409,136.5,ATM,Electronics,UK,16,0.626095,0.503228,1
5786,814,3482.91,QR,Grocery,US,6,0.27173,0.112244,1
8690,590,790.62,POS,Clothing,UK,14,0.170155,0.334044,1
8827,216,3575.83,ATM,Grocery,DE,13,0.432526,0.175161,1
1878,255,47968.94,QR,Electronics,FR,22,0.908264,0.821742,0
2940,671,32527.43,POS,Electronics,TR,1,0.79686,0.699092,0
9561,489,1786.3,POS,Grocery,FR,12,0.495022,0.018492,1
6003,682,589.2,ATM,Electronics,US,18,0.039442,0.03403,1
4457,370,4278.75,ATM,Travel,UK,11,0.460341,0.289763,1
3564,102,498.19,POS,Grocery,TR,7,0.324634,0.289348,1
4792,395,874.28,Online,Grocery,US,6,0.287665,0.245118,1
4241,535,3083.09,ATM,Electronics,UK,13,0.41646,0.036729,1
3330,173,1879.32,ATM,Travel,FR,13,0.41055,0.30685,1
8195,227,4283.88,POS,Clothing,DE,14,0.431564,0.106131,1
9847,605,362.14,POS,Food,TR,21,0.421148,0.025642,1
6280,718,31359.9,Online,Food,US,3,0.979081,0.83019,0
5415,690,1946.97,ATM,Travel,DE,5,0.421704,0.280369,1
5557,285,2732.63,POS,Grocery,US,19,0.612537,0.237801,1
6460,428,4806.34,ATM,Travel,FR,18,0.589424,0.125517,1
5722,778,356.11,POS,Electronics,US,20,0.074498,0.020751,1
5135,431,481.27,ATM,Grocery,TR,15,0.447124,0.052001,1
9889,573,1601.69,POS,Food,UK,5,0.55072,0.02373,1
8242,878,4074.2,ATM,Travel,FR,20,0.190387,0.079717,1
8178,815,3486.72,POS,Food,US,14,0.412523,0.527708,1
3594,418,3678.0,ATM,Electronics,DE,12,0.524228,0.1764,1
2858,572,12984.78,ATM,Travel,DE,23,0.912715,0.922734,0
9337,822,4952.62,Online,Grocery,DE,14,0.274075,0.229491,1
8483,664,3884.3,QR,Grocery,UK,12,0.228114,0.559147,1
3236,984,4293.48,ATM,Clothing,DE,21,0.284556,0.453014,1
5377,940,3775.17,ATM,Clothing,FR,21,0.075999,0.542506,1
3434,557,2531.21,POS,Clothing,FR,20,0.538933,0.198829,1
8460,429,4478.66,QR,Travel,TR,17,0.259089,0.016394,1
1715,425,4527.86,POS,Grocery,DE,18,0.068423,0.198395,1
9115,137,4750.81,QR,Electronics,TR,9,0.618389,0.348328,1
8213,202,3162.87,POS,Food,UK,8,0.297005,0.182994,1
2225,580,1650.04,Online,Clothing,TR,9,0.440412,0.453901,1
6383,972,3959.98,POS,Clothing,DE,7,0.515356,0.063812,1
2121,340,2477.16,Online,Travel,US,6,0.046838,0.334222,1
2646,554,2213.24,QR,Clothing,US,8,0.578131,0.21704,1
1919,400,10268.02,Online,Clothing,DE,23,0.700047,0.904604,0
7751,679,3094.91,QR,Travel,UK,21,0.074719,0.059623,1
7267,734,36543.61,QR,Grocery,TR,23,0.675467,0.928744,0
5161,570,3534.15,Online,Food,DE,19,0.062063,0.060054,1
2210,552,4933.33,Online,Electronics,FR,10,0.249533,0.228679,1
5097,567,4065.87,Online,Travel,DE,18,0.616239,0.591741,1
4886,490,3769.36,Online,Electronics,FR,8,0.250806,0.059265,1
1359,949,3887.96,POS,Clothing,US,14,0.367379,0.260291,1
9138,952,4532.71,Online,Travel,TR,6,0.081166,0.300649,1
4115,735,66.65,Online,Travel,US,12,0.309943,0.043219,1
6061,907,602.9,POS,Food,TR,6,0.085217,0.393034,1
2476,402,3732.76,Online,Grocery,UK,9,0.383356,0.577682,1
9697,613,1880.6,Online,Travel,FR,16,0.192856,0.522473,1
5835,864,1125.74,Online,Food,DE,20,0.626462,0.017171,1
4696,980,4849.7,POS,Electronics,FR,9,0.037622,0.535774,1
1228,370,28746.55,ATM,Grocery,FR,3,0.997538,0.629519,0
7242,942,2773.73,Online,Food,UK,13,0.630354,0.318628,1
4626,763,3150.7,ATM,Grocery,FR,15,0.455279,0.278179,1
3290,146,3141.51,ATM,Clothing,DE,8,0.383961,0.541683,1
9807,238,236.78,POS,Grocery,FR,12,0.189816,0.570743,1
3531,524,4452.42,ATM,Grocery,TR,18,0.30162,0.375878,1
1536,806,1394.13,Online,Travel,DE,13,0.130398,0.283582,1
6942,201,1773.23,Online,Electronics,FR,12,0.38354,0.055863,1
4109,225,48847.77,POS,Food,UK,2,0.995174,0.879265,0
1828,905,2685.12,Online,Travel,UK,5,0.208098,0.490139,1
